our name,Public name,ours,public
HSRIL.1,MAGIC.1,1,1
HSRIL.2,MAGIC.2 ,2,2
HSRIL.3,MAGIC.3,3,3
HSRIL.4,MAGIC.4,4,4
HSRIL.5,MAGIC.5,5,5
HSRIL.6,MAGIC.6,6,6
HSRIL.7,MAGIC.7,7,7
HSRIL.8,MAGIC.8,8,8
HSRIL.9,MAGIC.9,9,9
HSRIL.10,MAGIC.10,10,10
HSRIL.11,MAGIC.11,11,11
HSRIL.12,MAGIC.12,12,12
HSRIL.17,MAGIC.13,17,13
HSRIL.18,MAGIC.14,18,14
HSRIL.19,MAGIC.15,19,15
HSRIL.20,MAGIC.16,20,16
HSRIL.21,MAGIC.17,21,17
HSRIL.22,MAGIC.18,22,18
HSRIL.23,MAGIC.19,23,19
HSRIL.24,MAGIC.20,24,20
HSRIL.25,MAGIC.21,25,21
HSRIL.26,MAGIC.22,26,22
HSRIL.27,MAGIC.23,27,23
HSRIL.28,MAGIC.24,28,24
HSRIL.29,MAGIC.25,29,25
HSRIL.30,MAGIC.26,30,26
HSRIL.31,MAGIC.27,31,27
HSRIL.32,MAGIC.28,32,28
HSRIL.33,MAGIC.29,33,29
HSRIL.34,MAGIC.30,34,30
HSRIL.35,MAGIC.31,35,31
HSRIL.36,MAGIC.32,36,32
HSRIL.37,MAGIC.33,37,33
HSRIL.38,MAGIC.34,38,34
HSRIL.39,MAGIC.35,39,35
HSRIL.40,MAGIC.36,40,36
HSRIL.41,MAGIC.37,41,37
HSRIL.42,MAGIC.38,42,38
HSRIL.43,MAGIC.39,43,39
HSRIL.44,MAGIC.40,44,40
HSRIL.45,MAGIC.41,45,41
HSRIL.46,MAGIC.42,46,42
HSRIL.47,MAGIC.43,47,43
HSRIL.48,MAGIC.44,48,44
HSRIL.49,MAGIC.45,49,45
HSRIL.50,MAGIC.46,50,46
HSRIL.51,MAGIC.47,51,47
HSRIL.52,MAGIC.48,52,48
HSRIL.53,MAGIC.49,53,49
HSRIL.54,MAGIC.50,54,50
HSRIL.55,MAGIC.51,55,51
HSRIL.56,MAGIC.52,56,52
HSRIL.57,MAGIC.53,57,53
HSRIL.58,MAGIC.54,58,54
HSRIL.59,MAGIC.55,59,55
HSRIL.60,MAGIC.56,60,56
HSRIL.62,MAGIC.57,62,57
HSRIL.63,MAGIC.58,63,58
HSRIL.64,MAGIC.59,64,59
HSRIL.65,MAGIC.60,65,60
HSRIL.66,MAGIC.61,66,61
HSRIL.67,MAGIC.62,67,62
HSRIL.68,MAGIC.63,68,63
HSRIL.69,MAGIC.64,69,64
