LM	IND	RP	Num.RL	RL	Num.RA	RA
LM281	18	0.827255556	5.055555556	1.493555556	1.333333333	0.738555556
LM441	18	2.152505556	7.722222222	3.128722222	1.888888889	1.314444444
LM476	18	1.427222222	7.277777778	1.894944444	1.111111111	0.805333333
LM489	18	1.001355556	5.555555556	1.431555556	1	0.476666667
LM495	18	1.227988889	4.833333333	0.943333333	2.388888889	1.289166667
LM504	18	1.458377778	7.055555556	1.867055556	1.166666667	0.750166667
LM526	18	1.549861111	5.166666667	0.564388889	1.222222222	0.655222222
LM582	18	2.47395	8.166666667	1.797277778	1.5	0.778944444
LM589	18	1.048122222	6.055555556	1.342555556	1.333333333	0.930833333
LM605	18	1.318661111	6.166666667	1.998722222	2.666666667	1.744388889
LM606	18	0.78155	2.5	0.360777778	0.666666667	0.293
LM610	18	2.150894444	9.055555556	2.010666667	2	1.848111111
LM049	15	1.374157895	4.421052632	0.753157895	1.947368421	1.100473684
LM123	15	0.897066667	1.266666667	0.542066667	0.733333333	0.2218
LM159	15	2.01418	9.6	3.078666667	1.066666667	0.690133333
LM164	15	1.012693878	3	1.214836735	0.979591837	0.412244898
LM167	15	1.136266667	4.6	0.738466667	1.733333333	0.716
LM168	15	1.038466667	1.466666667	0.5314	0.533333333	0.286866667
LM169	15	1.443333333	5.933333333	0.934533333	0.6	0.333666667
LM173	15	0.854133333	1.733333333	0.233733333	0.533333333	0.112733333
LM174	15	2.4192	9.133333333	5.0556	1.266666667	0.778266667
LM175	15	1.41954	6.266666667	1.468266667	1.133333333	0.768466667
LM176	15	0.863	4.6	0.8086	1.133333333	0.408533333
LM185	15	0.683466667	1.466666667	0.391333333	0.333333333	0.113466667
LM186	15	0.8206	1.266666667	0.050466667	0.866666667	0.2474
LM200	15	2.2242	9.8	2.466866667	1.533333333	0.898533333
LM209	15	0.771466667	5.066666667	0.255533333	1.333333333	0.472
LM210	15	1.232866667	2.2	0.3586	1	0.521333333
LM215	15	0.835133333	1.533333333	0.556933333	1.2	0.485133333
LM216	15	1.088066667	4.8	1.347933333	1.533333333	0.8336
LM236	15	0.409	0.733333333	0.087666667	0.466666667	0.2206
LM274	15	0.767533333	2.2	0.3908	0.133333333	0.079866667
LM275	15	1.650346667	6.266666667	1.6134	1.266666667	0.669133333
LM279	15	1.107066667	3	0.436933333	1.666666667	0.7034
LM302	15	0.765733333	0.933333333	0.207733333	0.266666667	0.058933333
LM352	15	0.989933333	3.466666667	0.461933333	0.733333333	0.269866667
LM401	15	1.429466667	4.8	0.860333333	0.866666667	0.638266667
LM411	15	0.691666667	3.333333333	0.3352	1.533333333	0.605
LM413	15	0.930466667	1.333333333	0.209533333	0.533333333	0.086733333
LM416	15	1.891266667	7.4	1.214866667	2.133333333	1.120866667
LM418	15	0.7548	2.466666667	0.4418	1.133333333	0.563266667
LM419	15	1.188933333	3.8	0.9388	1	0.419066667
LM436	15	0.309133333	0.4	0.036466667	0.133333333	0.021
LM437	15	0.910733333	5.666666667	1.451066667	1.466666667	0.677333333
LM443	15	0.799266667	2.8	0.435066667	1.066666667	0.462
LM445	15	1.027	4.066666667	1.028733333	1.533333333	0.956733333
LM448	15	0.739333333	1.866666667	0.411733333	0.466666667	0.2928
LM452	15	1.8698	5.066666667	2.4966	1.4	1.7898
LM463	15	0.9018667	4.066666667	0.4402	1.333333333	0.521533333
LM467	15	3.386933333	12.46666667	9.3572	0.8	1.4082
LM473	15	0.7222	1.666666667	0.328533333	1.666666667	0.657266667
LM479	15	1.058666667	5.533333333	0.488466667	1.266666667	0.4028
LM484	15	1.272933333	2.933333333	0.2432	1.133333333	0.613
LM491	15	0.983466667	3.933333333	0.530666667	1.133333333	0.357466667
LM492	15	0.675466667	2.333333333	0.3304	0.333333333	0.046933333
LM497	15	1.460906667	5.4	2.160466667	1.733333333	0.974133333
LM505	15	0.893733333	1.266666667	0.1602	0.666666667	0.166066667
LM506	15	1.1782	6.4	2.494133333	0.866666667	0.583866667
LM508	15	2.003933333	6.466666667	1.075266667	1.066666667	0.827933333
LM513	15	0.820866667	3.933333333	0.620466667	1.133333333	0.595266667
LM522	15	1.101933333	5.666666667	1.2326	1.733333333	0.847933333
LM525	15	2.0734	7.533333333	3.015	1.6	1.775466667
LM528	15	1.115766667	3.6	0.584666667	0.6	0.274666667
LM533	15	0.830733333	2.4	0.331666667	1.2	0.621266667
LM548	15	0.99652	2.6	0.345866667	0.666666667	0.444466667
LM554	15	0.623066667	1.133333333	0.2288	0.6	0.258533333
LM566	15	0.668066667	2.533333333	0.831866667	0.666666667	0.3098
LM579	15	0.761266667	2.133333333	0.4094	0.733333333	0.282333333
LM590	15	0.893133333	2.266666667	0.439	0.666666667	0.2558
LM595	15	0.94	2.333333333	0.314133333	1.4	0.537266667
LM604	15	1.200266667	3.6	0.571	0.8	0.291266667
LM621	15	0.6594	1	0.1116	0.333333333	0.185066667
LM625	15	1.039066667	4.2	1.012866667	1.133333333	0.4978
LM636	15	0.674553333	1.8	0.3198	0.6	0.130066667
LM659	15	0.491466667	1.2	0.106	0.333333333	0.0568
LM661	15	0.763733333	2.133333333	0.4506	0.466666667	0.195466667
LM726	15	1.6918	7.733333333	1.785666667	2.333333333	1.185733333
LM237	14	0.454071429	0.785714286	0.099428571	0.214285714	0.0385
LM512	14	0.465857143	0.785714286	0.018928571	0.642857143	0.144357143
LM529	14	0.691785714	1.928571429	0.314428571	0.5	0.094
LM665	14	2.106071429	5.428571429	1.684357143	1.5	1.615357143
LM425	13	1.105153846	6.923076923	5.973461538	1.615384615	2.003461538
LM543	13	2.483076923	7.923076923	5.420692308	1.307692308	1.291538462
LM576	13	0.852230769	2.153846154	0.552538462	0.923076923	0.340384615
LM077	12	1.134133333	7.133333333	0.9088	1.933333333	1.684666667
LM524	12	1.260333333	3.916666667	1.474333333	0.833333333	0.313083333
LM603	12	0.548583333	0.833333333	0.1595	0.5	0.139666667
LM663	12	0.835833333	1.833333333	0.2825	0.75	0.262583333
LM179	11	0.601363636	2.545454545	0.576272727	1.818181818	0.642363636
LM260	11	0.401636364	0.363636364	0.011545455	0.272727273	0.074454545
LM490	11	0.435545455	0.272727273	0.037545455	0.363636364	0.095272727
LM510	11	0.918266667	1.2	0.3526	0.7	0.2637
LM212	10	0.7712	1.6	0.4412	0.7	0.1864
LM434	10	0.422	0.3	0.0061	0.5	0.0884
LM481	10	1.1864	3.8	0.6491	1.1	0.3088
LM732	10	2.119	8.6	7.7848	1.2	2.6745
LM278	9	0.494666667	0.555555556	0.100111111	0.333333333	0.151666667
LM494	8	1.59475	5.375	2.178625	1	0.648
LM652	8	1.058375	3.25	0.76625	1.25	0.617
LM405	7	1.097	3.571428571	0.218857143	2.714285714	1.191
LM429	7	1.107285714	3.428571429	0.492285714	1.571428571	0.798857143
LM451	7	0.740142857	1	1.229571429	0.571428571	0.587285714
LM469	7	0.698	2.142857143	0.162428571	1.285714286	0.395714286
LM480	7	0.311	0.428571429	0.029714286	0.285714286	0.051714286
LM542	7	0.857571429	2.428571429	0.373857143	1.285714286	0.398142857
LM195	6	0.587333333	0.666666667	0.041333333	0.5	0.223
LM446	6	1.948	4.833333333	1.186333333	0.666666667	0.057666667
LM064	5	1.6154	3.8	1.625	1.6	0.6782
LM144	5	0.5386	1	0.0392	0.2	0.2398
LM257	5	0.4686	0.8	0.0292	0.8	0.2526
LM408	5	0.406	1.2	0.592	0.2	0.0286
LM426	5	0.6362	2.2	0.4364	0.2	0.129
LM503	5	1.3096	3.6	0.9808	0.4	0.056
LM518	5	1.2028	3.4	1.6006	1.8	0.236
LM158	4	0.50675	1.25	0.318	0	0
LM165	4	0.54075	1	0.0725	1	0.16925
LM170	4	0.90525	0.75	0.0395	0.75	0.119
LM190	4	0.34475	0.25	0.0065	0.25	0.027
LM422	4	0.77375	2	0.289	1.25	0.636
LM439	4	0.77325	2.25	0.285	1	0.48975
LM482	4	1.44825	1.5	0.11725	0.75	0.1335
LM550	4	2.57975	9	2.57125	1.25	0.51925
LM593	4	0.3735	0.75	0.0245	0.25	0.01975
LM609	4	1.02125	4.5	0.8295	1.75	0.40425
LM198	3	0.359666667	0.333333333	0.012666667	1	0.210333333
LM295	3	1.585333333	8.666666667	2.435333333	1.666666667	1.263333333
LM414	3	0.575333333	0.333333333	0.017333333	0	0
LM424	3	0.651666667	3.666666667	0.523333333	0.666666667	0.620333333
LM555	3	0.531333333	0.333333333	0.177666667	0.666666667	0.180333333
LM563	3	0.419	1.333333333	0.071333333	0	0
LM664	3	0.958666667	3.666666667	0.165333333	2.666666667	0.767666667
LM238	2	0.402	0	0	0	0
LM421	2	0.569	0.5	0.0285	0	0
LM442	2	0.5005	0.5	0.039	0	0
LM511	2	2.348	10.5	16.034	2.5	8.013
LM519	2	0.2735	0.5	0.0765	0.5	0.1185
LM530	2	2.6715	8.5	3.114	1.5	2.6545
LM534	2	1.017	2.5	0.776	3.5	0.9325
LM623	2	0.2225	2	1.034	0.5	0.291
LM113	1	0.919	0	2.38	2	0
LM299	1	0.626	0	0	0	0
LM400	1	1.512	7	0.32	1	0.594
LM409	1	1.423	0	0	0	0
LM420	1	1.029	7	1.645	1	0.393
LM431	1	1.614	3	1.013	1	0.117
LM435	1	1.051	4	0.207	2	0.963
LM472	1	0.127	0	0	0	0
LM547	1	1.346	5	0.217	2	0.096
LM557	1	0.692	3	0.195	4	2.807
LM588	1	1.052	1	0.14	0	0
LM598	1	0.268	0	0	0	0
LM600	1	0.235	0	0	0	0
LM640	1	0.966	4	1.439	0	0
